40374-Q1,40374-Q2,40374-Q3,49517-Q1,95171-Q2,95171-Q3,40221-Q1,40221-Q2,40221-Q3,77009-Q1,77009-Q2,77009-Q3,74992-Q1,74992-Q2,74992-Q3,08461-Q1,08461-Q2,08461-Q3,04614-Q1,04614-Q2,04614-Q3,91437-Q1,91437-Q2,91437-Q3,92368-Q1,92368-Q2,92368-Q3,30475-Q1,30475-Q2,30475-Q3,18518-Q1,18518-Q2,18518-Q3,42468-Q1,42468-Q2,42468-Q3,32601-Q1,32601-Q2,32601-Q3,95340-Q1,95340-Q2,95340-Q3,55510-Q1,55510-Q2,55510-Q3,00751-Q1,00751-Q2,00751-Q3,08256-Q1,08256-Q2,08256-Q3,37635-Q1,37635-Q2,37635-Q3,96642-Q1,96642-Q2,96642-Q3,64895-Q1,64895-Q2,64895-Q3,12629-Q1,12629-Q2,12629-Q3,37932-Q1,37932-Q2,37932-Q3,38079-Q1,38079-Q2,38079-Q3,63869-Q1,63869-Q2,63869-Q3,94803-Q1,94803-Q2,94803-Q3,99557-Q1,99557-Q2,99557-Q3,79745-Q1,79745-Q2,79745-Q3,23140-Q1,23140-Q2,23140-Q3,21469-Q1,21469-Q2,21469-Q3,43527-Q1,43527-Q2,43527-Q3,38990-Q1,38990-Q2,38990-Q3,10006-Q1,10006-Q2,10006-Q3,55120-Q1,55120-Q2,55120-Q3,99497-Q1,99497-Q2,99497-Q3,39810-Q1,39810-Q2,39810-Q3,16769-Q1,16769-Q2,16769-Q3,72401-Q1,72401-Q2,72401-Q3,37752-Q1,37752-Q2,37752-Q3,02589-Q1,02589-Q2,02589-Q3,38570-Q1,38570-Q2,38570-Q3,42192-Q1,42192-Q2,42192-Q3,68948-Q1,68948-Q2,68948-Q3,55402-Q1,55402-Q2,55402-Q3,90009-Q1,90009-Q2,90009-Q3,87975-Q1,87975-Q2,87975-Q3,70488-Q1,70488-Q2,70488-Q3,66909-Q1,66909-Q2,66909-Q3,97330-Q1,97330-Q2,97330-Q3,74051-Q1,74051-Q2,74051-Q3,00584-Q1,00584-Q2,00584-Q3,42131-Q1,42131-Q2,42131-Q3,12445-Q1,12445-Q2,12445-Q3,70238-Q1,02382-Q2,02382-Q3,05267-Q1,05267-Q2,05267-Q3,76788-Q1,76788-Q2,76788-Q3,53440-Q1,53440-Q2,53440-Q3,86593-Q1,86593-Q2,86593-Q3,55106-Q1,55106-Q2,55106-Q3,19777-Q1,19777-Q2,19777-Q3,19250-Q1,19250-Q2,19250-Q3,82907-Q1,82907-Q2,82907-Q3,81948-Q1,81948-Q2,81948-Q3,79724-Q1,79724-Q2,79724-Q3,20833-Q1,20833-Q2,20833-Q3,64339-Q1,64339-Q2,64339-Q3,40658-Q1,40658-Q2,40658-Q3,31897-Q1,31897-Q2,31897-Q3,62263-Q1,62263-Q2,62263-Q3,77819-Q1,77819-Q2,77819-Q3,94403-Q1,94403-Q2,94403-Q3,98351-Q1,98351-Q2,98351-Q3,90351-Q1,90351-Q2,90351-Q3,92852-Q1,92852-Q2,92852-Q3,05347-Q1,05347-Q2,05347-Q3,00818-Q1,00818-Q2,00818-Q3,87150-Q1,87150-Q2,87150-Q3,79291-Q1,79291-Q2,79291-Q3,59515-Q1,59515-Q2,59515-Q3,08048-Q1,08048-Q2,08048-Q3,39364-Q1,39364-Q2,39364-Q3,01731-Q1,01731-Q2,01731-Q3,46405-Q1,46405-Q2,46405-Q3,90233-Q1,90233-Q2,90233-Q3,55760-Q1,55760-Q2,55760-Q3,85995-Q1,85995-Q2,85995-Q3,79683-Q1,79683-Q2,79683-Q3,18425-Q1,18425-Q2,18425-Q3,79550-Q1,79550-Q2,79550-Q3,24671-Q1,24671-Q2,24671-Q3,87122-Q1,87122-Q2,87122-Q3,76383-Q1,76383-Q2,76383-Q3,31766-Q1,31766-Q2,31766-Q3,65467-Q1,65467-Q2,65467-Q3,66715-Q1,66715-Q2,66715-Q3,95108-Q1,95108-Q2,95108-Q3,64393-Q1,64393-Q2,64393-Q3,78577-Q1,78577-Q2,78577-Q3,33866-Q1,33866-Q2,33866-Q3,75559-Q1,75559-Q2,75559-Q3,22099-Q1,22099-Q2,22099-Q3,10614-Q1,10614-Q2,10614-Q3,09995-Q1,09995-Q2,09995-Q3,00625,21296,66877,38191,32293,87865,74820,55198-Q1,55198-Q2,55198-Q3,94689-Q1,84689-Q2,84689-Q3,29114-Q1,29114-Q2,29114-Q3,23458-Q1,23458-Q2,23458-Q3
3,1,1,,,,3,5,5,1,1,1,1,1,3,,,,,,,,,,3,1,1,4,2,1,1,1,7,,,,3,3,3,4,5,4,3,5,1,5,7,7,,,,3,3,1,,,,4,5,1,1,1,1,,,,3,4,5,,,,,,,,,,2,2,3,3,3,1,2,1,3,5,4,4,1,1,1,,,,,,,4,4,6,4,5,4,3,3,5,5,1,1,2,2,2,4,1,5,,,,3,5,2,4,5,4,4,3,3,,,,,,,,,,,,,,,,5,5,4,5,2,5,1,2,5,5,2,2,2,3,4,2,3,2,,,,4,5,5,3,5,5,2,1,4,5,3,1,2,5,6,,,,2,1,1,1,5,1,,,,,,,1,5,5,,,,1,5,4,,,,1,1,1,4,5,4,4,6,5,4,1,1,,,,3,1,3,,,,,,,4,5,4,3,3,1,,,,,,,3,2,3,4,4,4,1,4,5,3,1,3,5,6,9,,,,2,1,1,,,,,,,3,7,5,,,,,,,,,,3,4,4,2,2,3,,,,4,5,2,3,3,5,2,2,5,,,,,,,,,,,,,,,,,,,,5,5,5,5,4,3
2,5,1,2,3,3,,,,,,,5,2,4,4,4,1,4,2,2,,,,1,2,1,3,4,1,3,4,6,,,,3,3,2,,,,3,1,3,7,4,3,,,,1,1,3,4,4,3,,,,5,3,5,1,2,4,1,5,5,,,,2,3,1,,,,3,4,3,,,,2,1,1,6,5,4,,,,,,,6,3,2,6,3,6,5,5,3,1,3,4,,,,,,,3,3,3,,,,,,,,,,,,,,,,2,5,2,3,3,1,2,4,3,,,,3,3,4,,,,,,,2,5,3,,,,2,1,3,1,5,5,,,,2,3,4,,,,3,3,3,,,,4,2,2,,,,1,3,2,3,3,2,,,,,,,,,,,,,3,4,3,1,1,1,,,,5,5,3,2,4,4,4,1,3,3,3,2,4,4,2,5,1,1,,,,3,4,1,3,4,2,4,1,3,3,3,1,5,4,5,3,2,5,1,2,1,4,3,4,,,,4,4,4,3,3,3,3,4,3,,,,2,2,2,4,3,4,2,7,2,,,,1,1,3,,,,,,,,,,6,1,4,,,,2,1,4,3,3,2,4,3,3,1,,,,2,4,3,2,2,1,,,
,,,2,4,2,,,,1,1,1,5,1,3,3,3,3,4,1,2,1,3,3,2,2,1,4,2,2,2,3,7,,,,,,,7,5,5,,,,,,,,,,2,4,3,,,,,,,5,6,4,,,,3,6,5,3,3,2,2,3,1,,,,4,4,2,1,3,1,,,,5,6,4,1,1,3,1,1,1,6,5,5,5,6,4,4,3,3,,,,,,,,,,3,1,2,,,,,,,4,4,5,,,,4,4,4,1,2,4,2,3,4,1,3,4,2,2,2,,,,,,,,,,5,4,3,5,3,5,2,1,1,1,6,5,4,3,4,2,5,4,,,,,,,,,,,,,1,2,3,3,2,3,4,3,2,,,,1,5,4,6,1,5,6,4,1,2,5,4,3,2,3,,,,4,5,2,,,,,,,2,2,4,2,3,2,,,,,,,1,1,3,3,2,4,5,2,4,2,3,2,5,6,5,,,,3,2,3,4,3,9,,,,3,4,4,4,1,3,,,,3,3,5,5,2,2,4,3,3,,,,2,3,4,4,4,4,,,,4,4,3,,,,,,,2,3,3,,,,1,1,2,2,2,1,1,,,,,,,3,2,1,,,
3,4,1,,,,1,3,4,4,3,4,,,,,,,,,,1,3,4,1,2,1,2,2,1,,,,,,,3,4,4,6,5,4,2,2,4,3,1,3,,,,,,,4,4,2,3,4,2,2,,3,3,2,2,4,2,5,,,,,,,,,,,,,,,,3,2,3,,,,1,3,3,,,,6,3,3,,,,,,,,,,4,2,1,2,2,1,1,3,3,2,1,1,4,3,3,2,4,2,2,2,1,4,3,2,3,2,2,,,,4,3,2,2,2,2,5,4,4,2,1,2,1,3,2,,,,2,2,4,1,1,1,,,,2,1,4,5,5,5,,,,3,2,2,,,,,,,,,,3,4,2,4,2,4,2,6,4,2,5,5,3,3,3,5,4,6,,,,3,1,1,4,4,4,3,2,3,2,5,3,,,,2,4,2,4,4,2,5,2,2,,,,1,3,2,3,2,2,5,1,2,3,4,2,2,4,5,,,,,,,,,,,,,4,2,5,,,,,,,2,5,3,,,,,,,2,5,2,3,5,4,4,1,3,,,,,,,,,,4,2,3,2,2,4,2,4,5,2,2,2,,1,1,2,2,3,2,,,,,,,,,
,,,2,2,2,,,,1,1,1,,,,4,1,4,,,,,,,,,,,,,,,,3,2,3,,,,,,,3,4,1,7,5,6,,,,2,1,3,,,,3,4,2,,,,,,,2,4,5,4,3,2,1,3,1,4,4,2,3,4,2,3,5,1,3,4,2,,,,,,,1,1,1,,,,,,,2,3,2,,,,4,3,3,,,,5,1,2,,,,,,,,,,1,1,2,,,,2,3,2,5,4,4,2,2,1,1,3,2,5,2,4,4,4,4,3,1,4,4,2,3,3,4,4,1,4,1,,,,,,,3,1,3,,,,,,,2,2,7,,,,1,2,4,1,3,2,,,,4,7,1,1,5,5,4,2,6,,,,2,5,2,1,2,1,,,,5,6,4,,,,4,3,4,3,1,1,2,3,3,,,,4,4,4,2,5,1,,,,,,,3,4,2,6,6,6,1,4,5,1,1,2,2,2,9,3,4,2,5,4,4,,,,2,3,2,4,5,5,1,2,1,4,4,4,3,7,4,2,4,4,,,,3,1,4,,,,,,,6,5,3,2,2,3,1,1,4,,,,,,,,6,3,2,2,5,5,2,2,3,,,
,,,5,3,4,,,,1,1,1,,,,1,1,5,3,2,2,3,3,3,,,,5,3,1,1,2,7,2,4,3,,,,5,1,5,,,,,,,1,1,5,1,1,2,2,1,1,3,2,1,1,1,4,,,,,,,2,2,3,4,3,1,,,,,,,,,,,,,5,3,6,1,3,1,2,4,1,3,2,2,5,4,3,4,1,3,4,3,4,5,3,2,1,2,2,,,,,,,,,,4,5,3,,,,4,2,2,3,3,3,,,,,,,4,3,3,,,,4,5,4,5,4,5,3,5,3,4,4,2,3,1,2,1,3,4,,,,,,,,,,3,1,1,2,4,1,5,1,2,2,3,1,,,,3,2,1,,,,,,,,,,5,4,1,1,3,4,5,1,2,4,3,3,,,,4,1,1,1,2,1,1,1,1,,,,5,2,3,,,,1,1,2,,,,,,,2,2,2,,,,6,3,4,3,1,3,3,1,9,3,4,2,,,,,,,2,4,4,2,4,5,,,,,,,,,,2,5,3,2,1,4,,,,4,3,3,3,2,5,5,2,5,3,3,3,1,3,5,,,,,,,,3,3,3,1,5,1,,,,,,
,,,,,,4,5,5,1,3,3,5,3,4,3,2,5,,,,,,,3,2,1,4,4,3,,,,,,,,,,7,5,4,3,4,1,5,6,4,,,,1,1,1,5,4,5,,,,1,6,6,4,2,4,5,7,3,2,1,5,2,2,4,4,4,4,,,,1,1,3,2,2,5,6,3,4,,,,,,,3,5,5,5,7,4,,,,,,,5,4,2,1,1,2,,,,1,1,2,,,,5,5,3,2,3,2,3,3,3,1,3,3,4,4,3,4,3,3,,,,3,4,2,,,,,,,,,,,,,2,2,1,1,4,5,4,2,4,2,5,4,,,,,,,,,,,,,,,,2,2,3,4,3,1,3,7,3,1,5,5,5,4,6,5,1,2,3,4,5,4,2,1,4,5,4,4,6,4,4,1,3,2,2,1,2,1,5,,,,,,,4,5,2,4,4,2,,,,4,1,2,3,5,4,5,1,5,,,,,,,4,3,7,,,,4,3,1,,,,3,4,2,4,5,5,,,,,,,5,5,4,,,,,,,,,,4,5,3,3,2,3,3,5,4,,,,1,1,4,,,,,,,,6,4,3,,,,4,5,3,,,
5,4,1,3,3,4,2,2,3,1,1,3,,,,3,1,3,,,,5,1,6,,,,4,3,1,1,1,7,,,,,,,6,5,3,3,2,4,,,,,,,2,2,2,3,4,5,3,4,2,3,2,2,1,2,2,,,,2,4,3,1,3,2,2,3,3,4,4,4,1,4,2,,,,,,,,,,,,,1,2,1,5,6,2,4,4,2,1,5,4,4,3,3,2,2,3,4,1,5,,,,4,3,1,4,4,4,2,2,2,,,,3,3,3,,,,2,4,3,,,,4,4,2,,,,2,4,3,,,,2,4,4,1,1,1,1,4,2,,,,4,5,5,3,3,1,5,3,2,,,,5,1,1,1,2,4,1,2,1,2,3,2,,,,,,,,,,2,4,2,,,,,,,4,3,2,3,6,4,,,,4,2,3,4,2,2,,,,,,,4,4,3,,,,2,2,3,,,,,,,2,7,2,3,3,5,3,2,1,,,,3,3,5,,,,,,,,,,4,2,5,,,,2,3,2,3,3,3,,,,,,,,,,,,,5,4,4,5,1,4,,,,1,3,1,4,4,4,4,4,3,2,,,,2,5,3,3,4,1,5,3,4
4,1,1,,,,5,2,5,1,3,3,,,,1,1,2,3,2,1,1,3,4,1,1,1,,,,,,,,,,1,3,4,,,,3,4,3,,,,1,3,1,,,,,,,,,,3,2,5,,,,,,,,,,2,3,2,,,,2,4,2,,,,,,,2,3,1,,,,1,1,1,,,,4,4,4,,,,,,,2,1,5,3,3,1,4,1,5,4,4,4,,,,1,1,5,3,1,4,3,3,3,1,1,5,5,5,3,2,4,2,1,1,1,5,4,2,4,1,4,1,2,2,5,5,3,,,,1,3,1,1,6,6,,,,3,5,5,4,4,1,,,,,,,,,,1,2,3,3,1,4,,,,5,7,1,1,5,5,,,,,,,4,5,2,5,1,3,5,5,5,5,5,5,,,,5,2,5,,,,2,3,4,5,2,3,5,4,5,,,,3,1,4,5,1,3,,,,,,,1,1,6,1,2,1,,,,1,5,1,,,,4,3,2,4,4,4,3,6,4,2,2,2,4,2,1,2,6,5,3,3,3,,,,6,2,6,,,,,,,4,2,1,,,,2,3,5,2,2,2,2,2,2,2,,,,,,,1,1,1,3,4,3
,,,2,3,3,2,3,3,1,3,3,5,3,4,2,4,3,5,6,2,,,,2,1,3,,,,2,3,5,2,2,3,4,2,1,,,,,,,,,,2,1,1,,,,5,5,4,,,,6,7,5,3,3,2,3,4,5,3,4,3,1,3,1,3,3,2,4,4,2,,,,,,,6,5,6,,,,1,1,1,3,3,1,,,,3,3,4,3,4,4,,,,3,3,3,,,,2,2,4,,,,4,4,3,2,1,2,,,,3,3,2,5,3,5,,,,3,3,4,4,3,2,4,3,4,5,2,2,4,4,3,,,,,,,1,5,5,,,,,,,3,3,2,4,2,3,5,5,3,4,1,2,,,,,,,2,2,1,,,,1,5,4,5,3,5,6,1,6,3,4,3,4,4,2,,,,,,,2,5,3,3,3,4,,,,2,3,2,,,,,,,,,,,,,5,2,3,,,,5,3,5,,,,,,,5,4,9,5,2,4,5,4,5,,,,3,4,4,3,4,4,6,2,2,,,,1,6,4,3,4,3,,,,,,,,,,,,,,,,2,3,4,3,1,2,2,2,3,3,3,2,3,4,2,3,,,,3,4,2,2,3,3
3,7,8,3,3,4,,,,3,3,3,3,2,3,,,,4,6,2,1,3,4,,,,,,,3,3,5,3,1,2,3,4,1,7,4,5,3,1,3,4,5,2,1,3,3,,,,5,4,2,3,4,1,,,,,,,,,,,,,3,3,3,3,5,1,,,,1,3,1,,,,1,1,1,,,,1,1,2,6,4,2,5,6,4,4,3,2,2,1,3,,,,,,,1,1,3,,,,,,,4,5,3,2,2,2,4,3,2,2,4,3,3,3,3,,,,,,,5,4,3,3,3,3,2,1,5,,,,,,,2,1,1,1,3,2,,,,,,,,,,,,,1,1,1,2,4,3,2,3,1,,,,,,,4,5,2,1,5,5,4,1,4,,,,,,,4,4,3,4,3,3,3,7,5,3,2,1,,,,2,2,5,3,2,2,,,,2,4,2,1,1,3,2,2,2,5,1,2,3,2,1,,,,,,,,,,3,6,5,1,5,2,1,4,3,,,,1,2,3,,,,,,,,,,7,2,2,2,3,2,,,,,,,2,3,5,,,,4,4,4,2,3,3,,,,,,,,,,,3,1,1,1,4,3,4,4,2,2,5,3
4,1,9,,,,,,,,,,1,3,1,2,3,3,,,,,,,,,,,,,3,3,6,3,4,4,,,,,,,4,2,2,7,7,6,3,2,3,1,2,2,,,,2,4,2,,,,3,2,4,5,5,1,2,3,3,,,,3,3,4,4,4,4,1,4,3,3,2,4,,,,,,,1,1,1,3,4,4,4,3,5,3,2,4,,,,4,3,3,2,2,1,,,,,,,,,,3,4,5,,,,,,,1,3,1,4,4,4,2,4,3,2,4,2,,,,,,,3,4,4,,,,5,4,3,2,1,3,1,4,5,,,,,,,3,3,3,,,,,,,,,,1,2,4,2,3,4,3,2,2,3,6,4,,,,,,,5,3,5,4,4,3,3,4,2,4,3,2,,,,,,,2,3,2,1,2,4,5,2,3,5,2,3,4,4,3,2,1,4,,,,4,2,4,3,4,2,2,6,4,4,4,5,3,2,3,,,,4,2,4,2,4,3,3,3,3,3,5,4,3,5,4,,,,3,4,3,3,7,4,2,5,5,,,,4,3,4,,,,,,,,,,4,2,3,,,,,,,,,,,6,3,3,,,,1,1,1,2,5,4
,,,2,1,2,3,2,2,,,,5,4,5,2,4,1,,,,,,,2,1,3,5,3,1,4,4,4,4,2,3,3,3,3,6,5,5,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,4,3,1,4,3,6,,,,,,,4,3,1,7,5,4,1,1,1,,,,4,4,2,5,2,6,2,3,4,4,2,4,3,3,4,2,2,2,2,4,2,3,2,2,,,,2,3,5,,,,3,3,4,3,5,2,,,,,,,,,,5,4,4,,,,,,,,,,4,4,4,3,3,4,1,5,6,4,1,3,5,4,3,4,4,2,,,,7,7,4,,,,3,3,2,1,2,2,3,1,1,,,,,,,5,1,6,6,3,2,,,,4,4,3,4,5,3,,,,2,1,8,,,,,,,3,5,4,5,1,1,,,,,,,,,,,,,,,,2,2,3,6,5,2,,,,3,1,6,1,2,6,5,5,5,3,3,3,4,4,5,1,5,4,5,1,4,4,5,5,2,7,4,3,5,5,1,1,4,3,3,3,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,2,4,3,5,4,5,3,5,5,1,5,2
,,,,,,2,2,2,1,2,3,2,4,1,2,4,2,4,3,2,,,,3,1,3,4,3,3,3,4,5,4,2,4,4,3,2,,,,,,,5,5,5,3,1,2,,,,4,2,4,2,4,2,,,,,,,5,6,3,,,,1,3,2,4,4,1,4,4,2,1,2,2,3,2,3,5,3,4,3,1,2,,,,,,,5,3,5,2,3,4,4,2,3,,,,,,,2,3,3,4,3,3,3,3,3,,,,1,1,2,4,4,2,4,2,2,4,4,2,2,2,4,,,,4,4,4,,,,,,,3,2,3,,,,2,3,2,1,5,5,3,3,4,2,3,3,,,,5,2,2,5,5,2,3,2,2,1,2,4,3,4,3,,,,3,3,2,,,,5,2,6,,,,2,4,3,,,,,,,,,,,,,4,4,3,2,2,3,,,,4,2,2,,,,2,2,1,4,4,4,4,2,3,3,4,2,5,3,5,4,3,4,,,,3,3,8,3,1,3,2,4,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,3,1,4,,,,4,3,3,,,,3,3,3,,,,2,1,2,2,1,2,2,,,,,,,3,3,3,,,
9,6,1,2,1,2,2,2,3,1,3,3,5,2,4,3,4,4,,,,2,2,3,,,,4,4,1,2,3,6,2,1,3,2,2,1,7,5,3,5,2,4,7,3,5,2,3,3,1,4,1,,,,,,,,,,,,,,,,5,3,3,2,3,1,,,,4,3,2,1,2,3,,,,7,3,1,,,,,,,,,,5,5,6,,,,4,3,5,3,4,3,,,,,,,3,1,3,4,3,2,4,4,4,,,,4,3,5,,,,5,5,5,2,5,4,2,2,2,,,,4,3,4,3,1,3,2,4,3,,,,,,,1,5,6,5,4,4,,,,4,4,1,,,,,,,3,2,3,1,1,5,2,4,3,,,,,,,,,,7,2,7,7,2,2,3,4,2,,,,4,4,3,,,,2,1,4,4,5,5,1,2,1,,,,5,6,2,,,,,,,,,,,,,,,,3,6,1,,,,1,2,1,4,3,6,4,5,1,,,,4,1,4,,,,3,1,5,6,3,1,2,5,5,2,6,4,3,4,4,4,3,4,3,4,4,5,5,2,,,,,,,,,,,,,,,,,,,,4,3,5,1,5,3,3,2,2,2,5,4
2,1,8,2,2,5,4,4,4,1,3,5,5,2,4,4,1,4,4,3,2,,,,,,,4,1,1,,,,3,1,3,2,2,2,5,5,4,3,4,1,7,2,6,3,2,3,,,,,,,,,,,,,,,,3,4,5,5,3,5,2,3,2,,,,4,5,1,1,3,5,4,3,2,7,6,7,1,3,2,4,3,3,,,,,,,2,2,1,2,2,3,,,,2,3,3,3,2,1,2,2,3,1,4,1,1,4,4,,,,3,4,4,1,2,1,4,4,1,2,5,5,,,,1,2,3,,,,6,1,4,3,5,2,,,,,,,1,4,4,,,,2,2,4,,,,1,3,3,6,7,1,5,2,1,,,,,,,,,,5,6,5,3,5,3,6,1,5,,,,5,1,4,,,,,,,3,5,2,,,,3,3,3,,,,5,4,4,5,2,4,,,,1,1,3,2,4,3,,,,1,1,1,,,,,,,3,2,1,4,3,9,1,4,4,5,5,3,3,3,4,4,5,4,,,,,,,2,4,5,,,,,,,,,,3,1,4,4,1,2,3,1,3,,,,,,,,,,2,2,1,2,2,1,1,,,,1,7,4,,,,,,
,,,4,3,3,4,4,4,1,1,1,,,,,,,4,5,1,,,,2,2,1,4,3,1,1,3,5,,,,3,3,2,,,,1,5,1,6,3,4,2,3,3,,,,,,,,,,2,3,5,3,1,2,3,4,5,4,3,3,,,,,,,4,4,1,2,5,3,4,4,4,5,5,4,,,,1,1,1,6,3,3,5,4,5,,,,4,4,3,3,3,2,,,,3,3,3,2,2,3,2,1,3,3,4,2,3,1,1,,,,3,4,2,2,2,3,,,,2,3,1,,,,,,,2,1,2,1,2,3,1,3,3,,,,4,6,4,2,1,4,3,4,3,4,3,2,3,3,3,5,5,7,5,1,3,1,2,3,3,2,3,,,,,,,2,5,4,5,1,7,5,3,5,3,3,3,,,,3,3,3,4,5,1,3,3,4,,,,,,,5,3,2,,,,,,,,,,2,2,3,,,,,,,,,,2,5,3,,,,,,,,,,,,,4,3,3,4,3,4,,,,,,,2,4,4,7,4,3,2,3,3,4,3,3,,,,,,,3,3,4,,,,,,,1,3,3,3,2,2,3,3,4,3,,,,,,,3,2,3,1,5,4
,,,,,,5,4,4,,,,,,,2,3,1,3,2,2,,,,,,,,,,,,,2,2,2,2,3,4,6,4,4,,,,,,,1,1,3,1,4,2,4,4,5,3,4,4,3,3,2,3,2,2,5,7,1,2,3,3,1,3,1,4,4,5,,,,1,4,3,4,3,3,5,3,1,,,,,,,2,2,4,5,5,5,4,3,4,3,2,4,,,,1,2,2,,,,,,,3,4,2,2,4,4,1,1,2,2,4,2,2,5,3,,,,,,,1,2,1,,,,4,4,4,2,2,4,4,1,4,,,,2,2,1,1,4,6,4,5,5,4,4,5,3,3,2,,,,5,6,2,5,1,1,,,,,,,,,,4,7,3,,,,,,,,,,,,,,,,4,4,2,4,5,2,2,3,6,3,2,3,2,2,5,,,,5,4,2,4,3,2,,,,3,4,4,5,2,3,3,4,2,3,6,2,1,4,4,3,2,2,,,,,,,,,,4,3,3,3,2,4,,,,8,3,1,4,4,4,,,,,,,,,,,,,2,4,2,2,2,4,,,,3,3,2,2,1,1,3,3,2,3,2,3,1,,,,3,6,4,4,2,3,,,
10,3,1,,,,1,3,2,,,,1,3,1,,,,,,,,,,3,1,1,,,,1,1,7,4,5,2,3,2,1,,,,4,1,1,2,2,5,,,,2,2,4,,,,3,1,1,5,5,5,,,,2,2,4,2,1,2,1,3,1,,,,2,3,5,,,,2,2,4,1,7,2,,,,,,,,,,7,3,7,2,4,2,1,5,4,5,2,4,1,1,1,4,1,1,4,2,2,,,,,,,3,2,2,2,2,4,,,,4,4,4,4,2,2,,,,,,,5,5,5,,,,3,4,1,,,,2,2,2,,,,3,3,5,,,,,,,,,,,,,5,5,5,,,,1,5,2,1,1,3,,,,,,,2,7,1,3,1,7,1,3,1,3,1,3,2,1,2,2,2,1,1,8,3,4,4,2,4,3,5,1,4,2,5,6,5,1,4,4,,,,1,2,4,5,2,2,2,4,4,,,,,,,,,,5,3,9,5,3,5,3,1,1,5,3,4,2,2,3,,,,,,,4,4,2,2,6,1,,,,,,,,,,3,5,6,,,,2,7,5,3,3,3,,,,1,1,1,1,1,1,1,1,1,5,1,1,1,,,,4,4,4
3,2,1,4,2,4,2,3,1,,,,5,2,4,,,,,,,,,,2,1,1,3,4,1,2,3,5,,,,,,,7,4,3,5,4,1,,,,,,,1,4,2,4,3,4,,,,,,,3,2,4,,,,3,2,3,,,,4,3,3,4,3,2,1,4,2,,,,6,5,3,1,3,1,,,,2,2,1,,,,,,,4,2,5,,,,2,1,3,,,,4,2,4,3,5,2,5,5,5,2,2,1,3,4,3,1,4,4,5,4,3,,,,2,2,2,4,4,4,4,5,2,2,2,4,2,1,3,,,,2,2,3,,,,5,4,4,3,5,5,4,4,1,5,4,2,,,,5,1,1,,,,3,2,4,,,,,,,,,,4,2,6,6,5,2,3,5,3,,,,5,3,2,4,5,4,,,,4,2,5,1,2,4,4,3,3,5,3,1,,,,3,2,1,4,1,4,,,,,,,1,3,5,,,,3,2,3,5,3,7,,,,,,,4,3,3,,,,3,6,5,4,1,3,,,,,,,4,5,5,2,2,3,3,2,7,2,5,2,3,3,4,,,,,,,1,1,1,2,2,2,2,2,2,1,,,,,,,4,3,3,,,
,,,,,,2,3,2,1,1,1,5,3,4,,,,4,2,2,1,3,1,,,,4,5,5,1,2,6,,,,,,,6,5,5,3,4,1,,,,,,,1,3,1,,,,3,3,5,5,5,7,3,2,2,,,,4,2,4,,,,2,3,2,3,3,1,,,,2,1,5,5,1,1,1,3,2,5,5,3,1,1,1,1,7,4,5,5,4,1,3,1,,,,5,5,3,3,1,4,1,1,1,1,2,3,4,5,2,,,,4,1,4,,,,5,3,4,2,3,1,,,,1,1,1,,,,3,1,4,,,,,,,4,2,4,,,,3,4,3,3,4,3,,,,,,,1,5,6,5,1,1,,,,,,,1,2,6,,,,2,4,5,,,,,,,,,,5,2,5,,,,5,6,5,3,1,5,4,2,3,5,3,5,,,,,,,5,5,5,1,1,1,,,,,,,3,1,1,1,1,1,1,1,6,3,2,3,5,6,9,,,,,,,4,3,3,2,2,1,3,4,5,,,,4,3,1,7,6,4,,,,1,1,3,5,1,4,,,,3,2,4,5,4,5,1,4,4,1,2,4,,,,,,,,,,,,,,,,,1,5,1
7,1,9,,,,3,1,3,1,2,1,,,,2,2,4,3,2,2,1,3,3,1,1,3,4,4,3,3,4,6,3,4,3,2,1,3,,,,,,,,,,,,,1,3,4,,,,3,3,4,4,4,5,,,,3,1,3,3,3,3,2,3,1,,,,,,,1,1,2,5,2,5,6,4,4,,,,1,2,3,,,,,,,4,4,2,3,3,3,,,,3,3,3,,,,,,,2,4,4,4,2,3,1,2,2,,,,,,,,,,2,1,4,,,,3,3,3,4,3,3,,,,,,,,,,,,,,,,4,3,5,3,3,3,3,3,2,5,3,3,,,,,,,,,,2,4,3,1,2,6,3,6,2,,,,4,5,6,4,3,2,,,,4,2,3,3,4,4,,,,1,1,1,,,,4,2,3,,,,5,3,3,3,4,4,3,4,3,2,2,2,,,,4,4,4,4,4,5,1,1,4,1,2,1,3,4,9,,,,2,3,4,4,3,3,3,4,4,,,,,,,3,3,4,,,,3,4,3,5,1,5,4,2,6,2,3,3,3,1,4,,,,,,,,,,2,2,2,2,2,2,2,4,2,1,,,,4,4,2,2,4,4
